Active,name,externalgroup,artifacts,automation,function,platform,accessibility,url,code_url,description,notes
retired,BotCheck.me,RoBhat,accounts,,,,,https://www.robhat.com/,,,
retired,FactCheck.me,RoBhat,,,,,,https://www.robhat.com/,,,
retired,NewsBotAI,RoBhat,,,,,,https://www.robhat.com/,,,
retired,SurfState.me,RoBhat,,,,browser extension,,https://www.robhat.com/,,,
